country_iso,date,holiday_reason
GB,1924-01-01,New year
GB,1924-04-18,Good Friday
GB,1924-04-20,Easter Sunday
GB,1924-04-21,Easter Monday
GB,1924-05-05,Early May Bank Holiday
GB,1924-05-26,Spring Bank Holiday
GB,1924-08-25,Late Summer Bank Holiday
GB,1924-12-25,Christmas Day
GB,1924-12-26,Boxing Day
GB,1925-01-01,New year
GB,1925-04-10,Good Friday
GB,1925-04-12,Easter Sunday
GB,1925-04-13,Easter Monday
GB,1925-05-04,Early May Bank Holiday
GB,1925-05-25,Spring Bank Holiday
GB,1925-08-31,Late Summer Bank Holiday
GB,1925-12-25,Christmas Day
GB,1925-12-26,Boxing Day
GB,1925-12-28,Boxing Day Shift
GB,1926-01-01,New year
GB,1926-04-02,Good Friday
GB,1926-04-04,Easter Sunday
GB,1926-04-05,Easter Monday
GB,1926-05-03,Early May Bank Holiday
GB,1926-05-31,Spring Bank Holiday
GB,1926-08-30,Late Summer Bank Holiday
GB,1926-12-25,Christmas Day
GB,1926-12-26,Boxing Day
GB,1926-12-27,Christmas Shift
GB,1926-12-28,Boxing Day Shift
GB,1927-01-01,New year
GB,1927-01-03,New Year shift
GB,1927-04-15,Good Friday
GB,1927-04-17,Easter Sunday
GB,1927-04-18,Easter Monday
GB,1927-05-02,Early May Bank Holiday
GB,1927-05-30,Spring Bank Holiday
GB,1927-08-29,Late Summer Bank Holiday
GB,1927-12-25,Christmas Day
GB,1927-12-26,Boxing Day
GB,1927-12-26,Christmas Shift
GB,1927-12-27,Boxing Day Shift
GB,1928-01-01,New year
GB,1928-01-02,New Year shift
GB,1928-04-06,Good Friday
GB,1928-04-08,Easter Sunday
GB,1928-04-09,Easter Monday
GB,1928-05-07,Early May Bank Holiday
GB,1928-05-28,Spring Bank Holiday
GB,1928-08-27,Late Summer Bank Holiday
GB,1928-12-25,Christmas Day
GB,1928-12-26,Boxing Day
GB,1929-01-01,New year
GB,1929-03-29,Good Friday
GB,1929-03-31,Easter Sunday
GB,1929-04-01,Easter Monday
GB,1929-05-06,Early May Bank Holiday
GB,1929-05-27,Spring Bank Holiday
GB,1929-08-26,Late Summer Bank Holiday
GB,1929-12-25,Christmas Day
GB,1929-12-26,Boxing Day
GB,1930-01-01,New year
GB,1930-04-18,Good Friday
GB,1930-04-20,Easter Sunday
